-136.7080	3.3812e-11
-134.0050	2.9270e-09
-131.3021	3.8048e-09
-128.5992	1.4136e-08
-125.8963	3.0823e-08
-123.1934	4.7791e-08
-120.4904	7.9843e-08
-117.7875	1.6316e-07
-115.0846	2.3773e-07
-112.3817	3.3099e-07
-109.6788	4.9325e-07
-106.9758	5.7993e-07
-104.2729	9.0870e-07
-101.5700	1.1331e-06
-98.8671	1.7644e-06
-96.1641	2.5909e-06
-93.4612	3.6337e-06
-90.7583	4.6084e-06
-88.0554	6.2323e-06
-85.3525	8.4952e-06
-82.6495	1.1297e-05
-79.9466	1.5067e-05
-77.2437	1.9963e-05
-74.5408	2.6047e-05
-71.8379	3.4060e-05
-69.1349	4.4607e-05
-66.4320	5.6311e-05
-63.7291	7.1948e-05
-61.0262	9.2175e-05
-58.3233	1.1682e-04
-55.6203	1.4764e-04
-52.9174	1.8649e-04
-50.2145	2.3588e-04
-47.5116	2.9807e-04
-44.8086	3.7971e-04
-42.1057	4.8535e-04
-39.4028	6.2236e-04
-36.6999	8.1315e-04
-33.9970	0.0011
-31.2940	0.0014
-28.5911	0.0020
-25.8882	0.0027
-23.1853	0.0039
-20.4824	0.0056
-17.7794	0.0081
-15.0765	0.0118
-12.3736	0.0167
-9.6707	0.0226
-6.9678	0.0291
-4.2648	0.0348
-1.5619	0.0383
1.1410	0.0386
3.8439	0.0355
6.5469	0.0301
9.2498	0.0237
11.9527	0.0176
14.6556	0.0125
17.3585	0.0087
20.0615	0.0060
22.7644	0.0041
25.4673	0.0029
28.1702	0.0021
30.8731	0.0015
33.5761	0.0011
36.2790	8.3842e-04
38.9819	6.3858e-04
41.6848	4.8923e-04
44.3877	3.8246e-04
47.0907	3.0156e-04
49.7936	2.3564e-04
52.4965	1.8571e-04
55.1994	1.4651e-04
57.9024	1.1488e-04
60.6053	9.0416e-05
63.3082	7.0042e-05
66.0111	5.4783e-05
68.7140	4.1661e-05
71.4170	3.2010e-05
74.1199	2.4687e-05
76.8228	1.8908e-05
79.5257	1.3980e-05
82.2286	1.1109e-05
84.9316	8.0023e-06
87.6345	6.1550e-06
90.3374	4.8075e-06
93.0403	3.4775e-06
95.7432	2.4520e-06
98.4462	1.7419e-06
101.1491	1.1907e-06
103.8520	7.9509e-07
106.5549	5.2005e-07
109.2578	2.9669e-07
111.9608	2.0681e-07
114.6637	1.1735e-07
117.3666	7.4549e-08
120.0695	4.0053e-08
122.7725	2.6972e-08
125.4754	4.0710e-09
128.1783	2.9191e-09
130.8812	3.3812e-11
